Extensive Reading Foundation Graded Reader List																											
Black Cat - Cideb					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code		Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher  level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (Audio Book)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
BCE1	Black Cat - Cideb	Dorothy	Paola Traverso	Black Cat EarlyReads	Level 1	100 	Beginner (E)	A1	0.6	422 		E	32	Y	0	F		children	978-88-530-0709-4							Y	LLLA WINNER 2008
BCE1	Black Cat - Cideb	Enormous Turnip, The	Retold by Ruth Hobart	Black Cat EarlyReads	Level 1	100 	Beginner (E)	A1	0.6	474 		E	32	Y	0	F		children	978-88-530-0813-8							Y	
BCE1	Black Cat - Cideb	Gingerbread Man, The	Jennifer Gascoigne	Black Cat EarlyReads	Level 1	100 	Beginner (E)	A1	0.6	543 		E	32	Y	0	F		children	978-88-530-1012-4							Y	
BCE1		Magic Pot, The	Emily Flinn	Black Cat EarlyReads	Level 2	100 	Beginner (M)	A1	0.6	691 		E	32	S	0	F		children	978-88-530-1410-8								
BCE1	Black Cat - Cideb	Star and the Colours, The	Paolo Traverso	Black Cat EarlyReads	Level 1	100 	Beginner (E)	A1	0.6	503 		E	32	S	0	F		children	978-88-530-1201-2							Y	
BCE1	Black Cat - Cideb	Trip to the Safari Park, A	Gigliola Pagano	Black Cat EarlyReads	Level 1	100 	Beginner (E)	A1	0.6	535 		E	32	Y	1	F		children	978-88-530-0886-2							Y	
BCE1	Black Cat - Cideb	Ugly Duckling, The	Retold by Ruth Hobart	Black Cat EarlyReads	Level 1	100 	Beginner (E)	A1	0.6	524 		E	32	Y	1	F		children	978-88-530-0494-9							Y	
BCE2	Black Cat - Cideb	Henny Penny	Retold by Emily Flynn	Black Cat EarlyReads	Level 2	100 	Beginner (E)	A1	0.7	694 		E	32	S	0	F		children	978-88-530-1294-4							Y	
BCE2	Black Cat - Cideb	Little Red Riding Hood	Retold by Ruth Hobart	Black Cat EarlyReads	Level 2	150 	Beginner (M)	A1	0.7	670 		E	32	Y	1	F		children	978-88-530-0479-6							Y	
BCE2	Black Cat - Cideb	Mad Teacher, The	Cristina Ivaldi	Black Cat EarlyReads	Level 2	150 	Beginner (M)	A1	0.7	604 		E	32	Y	1	F	 	children	978-88-7754-567-1							Y	
BCE2	Black Cat - Cideb	Miss Grace Green and the Clown Brothers	Paola Traverso	Black Cat EarlyReads	Level 2	150 	Beginner (M)	A1	0.7	736 		E	32	Y	1	F		children	978-88-530-1090-2							Y	
BCE2	Black Cat - Cideb	Mowgli Learns to Swim	Ruth Hobart	Black Cat EarlyReads	Level 2	150 	Beginner (M)	A1	0.7	579 		E	32	Y	1	F		children	978-88-7754-546-6							Y	
BCE2	Black Cat - Cideb	Owl's Song, The	Paola Traverso	Black Cat EarlyReads	Level 2	150 	Beginner (M)	A1	0.7	713 		E	32	Y	1	F		children	978-88-530-1011-7							Y	LLLA Finalist 2011
BCE2	Black Cat - Cideb	Rapunzel	Retold by Ruth Hobart	Black Cat EarlyReads	Level 2	150 	Beginner (M)	A1	0.7	691 		E	32	S	1	F		children	978-88-530-1202-9							Y	
BCE3	Black Cat - Cideb	Bugaboo the Wicked Witch	Cristina Ivaldi	Black Cat EarlyReads	Level 3	200 	Beginner (M)	A1	0.8	481 		E	32	Y	2	F		children	978-88-7754-573-2							Y	
BCE3	Black Cat - Cideb	Cinderella	Retold by Ruth Hobart	Black Cat EarlyReads	Level 3	200 	Beginner (M)	A1	0.9	817 		E	32	Y	2	F		children	978-88-530-0493-2							Y	
BCE3	Black Cat - Cideb	Jungle Book, The	Gaia Ierace	Black Cat EarlyReads	Level 3	200 	Beginner (M)	A1	0.8	704 		E	32	Y	2	F		children	978-88-7754-519-0							Y	
BCE3	Black Cat - Cideb	Little Mermaid, The	Retold by Judith Percival	Black Cat EarlyReads	Level 3	200 	Beginner (M)	A1	0.9	803 		E	32	Y	2	F		children	978-88-530-0918-0							Y	
BCE3	Black Cat - Cideb	Maggie and Max Visit the Haunted Castle	Gabriella Coates	Black Cat EarlyReads	Level 3	200 	Beginner (M)	A1	0.9	786 		E	32	S	2	F		children	978-88-530-1265-4							Y	
BCE3	Black Cat - Cideb	Monster in the Box	Cristina Ivaldi	Black Cat EarlyReads	Level 3	200 	Beginner (M)	A1	0.8	369 		E	32	Y	2	F		children	978-88-7754-455-1							Y	
BCE3		Musicians of Bremen, The	Retold by Paola Traverso	Black Cat EarlyReads	Level 3	200 	Beginner (M)	A2	0.8	842 		E	32	Y	2	F		children	978-88-530-1545-7								
BCE3	Black Cat - Cideb	Peter and the Wolf	Retold by Ruth Hobart	Black Cat EarlyReads	Level 3	200 	Beginner (M)	A1	0.9	770 		E	32	S	2	F		children	978-88-530-1089-6							Y	
BCE4	Black Cat - Cideb	Aesop's Fables	Retold by Ruth Hobart	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	1.0	993 		E	32	Y	3	F		children	978-88-530-0511-3							Y	
BCE4	Black Cat - Cideb	Christmas Fun	Ruth Hobart	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	1.0	1,000 		E	32	Y	3	F		children	978-88-530-0707-0							Y	
BCE4	Black Cat - Cideb	Dracula and his Family	Gaia Ierace	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	1.0	1,245 		E	32	Y	3	F		children	978-88-7754-458-2							Y	
BCE4	Black Cat - Cideb	Festivals!	Ruth Hobart	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	1.0	1,000 		E	32	Y	3	F		children	978-88-530-0708-7							Y	
BCE4	Black Cat - Cideb	Frankenstein at School	Gaia Ierace	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	1.0	1,133 		E	32	Y	3	F		children	978-88-7754-448-3							Y	
BCE4	Black Cat - Cideb	Freddy Finds the Thief	Victoria Heward	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	0.9	755 		E	32	Y	3	F		children	978-88-7754-613-5							Y	
BCE4	Black Cat - Cideb	Halloween Holiday	Ruth Hobart	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	1.0	540 		E	32	S	3	F		children	978-88-530-1317-0							Y	
BCE4		Halloween Party, A	Ruth Hobart	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	1.0	1,000 		E	32	N	3	F		children	978-88-530-0710-0								
BCE4	Black Cat - Cideb	Magic Computer Mouse, The	Nella Burnett-Stuart and Liz Taylor	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	0.9	616 		E	32	Y	3	F		children	978-88-7754-457-5							Y	
BCE4	Black Cat - Cideb	Puss in Boots	Retold by Judith Percival	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	1.0	684 		E	32	Y	3	F		children	978-88-530-0693-6							Y	
BCE4	Black Cat - Cideb	Sleeping Beauty	Retold by Catherine E. White	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	1.0	959 		E	32	Y	3	F		children	978-88-530-0919-7							Y	
BCE4	Black Cat - Cideb	Space Monsters	Cristina Ivaldi	Black Cat EarlyReads	Level 4	250 	Beginner (H)	A1	0.9	423 		E	32	Y	3	F		children	978-88-7754-465-0							Y	
BCE5	Black Cat - Cideb	Aladdin	Retold by Ruth Hobart	Black Cat EarlyReads	Level 5	300 	Beginner (H)	A1	1.1	1,257 		E	32	Y	3	F		children	978-88-530-0510-6							Y	
BCE5	Black Cat - Cideb	Ali Baba and the Forty Thieves	Retold by Catherine E. White	Black Cat EarlyReads	Level 5	300 	Beginner (H)	A1	1.1	1,200 		E	32	Y	3	F		children	978-88-530-0626-4							Y	
BCE5	Black Cat - Cideb	Canterville Ghost, The	Oscar Wilde	Black Cat EarlyReads	Level 5	300 	Beginner (H)	A1	1.1	1,337 		E	32	Y	3	F		children	978-88-7754-520-6							Y	
BCE5	Black Cat - Cideb	Nasreddin - Ten Stories	Retold by Jennifer Gascoigne	Black Cat EarlyReads	Level 5	300 	Beginner (H)	A1	1.1	1,284 		E	32	Y	3	F		children	978-88-530-0699-8							Y	
BCE5	Black Cat - Cideb	Snow White and the Seven Dwarfs	Retold by Catherine E. White	Black Cat EarlyReads	Level 5	300 	Beginner (H)	A1	1.1	1,225 		E	32	Y	3	F		children	978-88-530-0920-3							Y	
BCE5	Black Cat - Cideb	Two Monsters	Cristina Ivaldi	Black Cat EarlyReads	Level 5	300 	Beginner (H)	A1	1.1	715 		E	32	Y	3	F		children	978-88-7754-474-2							Y	
BCE5	Black Cat - Cideb	Zed the Magician	Nella Burnett-Stuart and Liz Taylor	Black Cat EarlyReads	Level 5	300 	Beginner (H)	A1	1.1	897 		E	32	Y	3	F		children	978-88-7754-612-8							Y	
BCS1	Black Cat - Cideb	Castles and Knights	Gina D. B. Clemen	Black Cat EasyReads	Level 1	300 	Beginner (H)	A2		700		E	24/32	Y	3	NF		teen+	978-88-530-0316-4							Y	
